LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Lamp Holder Type,Diode Configuration,Viewing Angle,Voltage - Forward(Vf),Peak Wavelength,Illumination Color,Operating Temperature,Lens Color,ESD Withstand Voltage,Installation method,Length,Width,Wavelength,Height,Forward Current,Color Temperature,Pitch,Luminous Intensity,Dominant Wavelength - G,Dominant Wavelength - B,Dominant Wavelength - R,Luminous Intensity - G,Luminous Intensity - B,Luminous Intensity - R,Peak Wavelength - G,Peak Wavelength - B,Peak Wavelength - R
C965803,XL-1608UYC-04,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/ae4b07c735519eab34037295d920259a.pdf?productCode=C965803,88300,0.0085,100,100,https://www.lcsc.com/product-detail/C965803.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.3V,590nm,Yellow,-40℃~+85℃,Water Clear,,Top-mount,,,585nm~595nm,,20mA,-,,210mcd,,,,,,,,,
C2977076,XL-1608UPC-06,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/6838839068ee0284deae2c05a7b0448e.pdf?productCode=C2977076,51100,0.0113,50,50,https://www.lcsc.com/product-detail/C2977076.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,3.3V,-,Pink,-20℃~+85℃,Pink Lens,,Top-mount,,,-,,5mA,-,,270mcd,,,,,,,,,
C965801,XL-1608UOC-04,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/cf05f743b585d61d639a2d3b7bb44133.pdf?productCode=C965801,48800,0.0085,100,100,https://www.lcsc.com/product-detail/C965801.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.3V,605nm,Orange,-40℃~+85℃,Water Clear,,Top-mount,,,600nm~610nm,,20mA,-,,360mcd,,,,,,,,,
C7371898,XL-1608UVC-04,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/195f1090e23e761b8bb4a96109c36c7a.pdf?productCode=C7371898,27100,0.0134,50,50,https://www.lcsc.com/product-detail/C7371898.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,3.4V,405nm,Purple,-40℃~+85℃,Water Clear,,Top-mount,,,390nm~429nm,,5mA,-,,60mcd,,,,,,,,,
C5349933,XL-1608SURUBC,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/66fb48a6e3e3881d177861048d836c4d.pdf?productCode=C5349933,9880,0.0326,20,20,https://www.lcsc.com/product-detail/C5349933.html,"SMD-4P,1.6x0.8mm",Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,1.8V~2.6V;2.8V~3.5V,630nm;470nm,"Red, Blue",-40℃~+85℃,Water Clear,,Top-mount,,,620nm~630nm;465nm~475nm,,20mA,-,,150mcd;180mcd,,,,,,,,,
C7371907,XL-1608WYC-06,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/c0d192a43215a45a5c46daed33993754.pdf?productCode=C7371907,24300,0.0114,50,50,https://www.lcsc.com/product-detail/C7371907.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.7V~3.1V,591nm,Yellow,-40℃~+85℃,Yellow Lens,,Top-mount,,,587nm~595nm,,5mA,2200K~2500K,,380mcd,,,,,,,,,
C55338549,XL-1608UWWC-A,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/2e1276edd6b17fc8780319f6e0e64f8b.pdf?productCode=C55338549,4000,0.0198,50,50,https://www.lcsc.com/product-detail/C55338549.html,0603,Tape & Reel (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,
C965799,XL-1608SURC-06,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/8b84af6e65674f776ac713f2807c626a.pdf?productCode=C965799,7639800,0.0035,100,100,https://www.lcsc.com/product-detail/C965799.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.3V,625nm,Red,-40℃~+85℃,Water Clear,,Top-mount,,,620nm~630nm,,20mA,-,,225mcd,,,,,,,,,
C965805,XL-1608SYGC-06,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/db39074692074ba57d43d76e9fc6dbf2.pdf?productCode=C965805,708600,0.0075,100,100,https://www.lcsc.com/product-detail/C965805.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.2V,575nm,Yellow Green,-40℃~+85℃,Water Clear,,Top-mount,,,570nm~575nm,,25mA,-,,60mcd,,,,,,,,,
C7371904,XL-1608UBC-06A,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/06a87b17159269e968f626e86e5be9be.pdf?productCode=C7371904,95550,0.0134,50,50,https://www.lcsc.com/product-detail/C7371904.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,130°,2.6V~3V,470nm,Blue,-40℃~+85℃,Water Clear,,Top-mount,,,456nm~476nm,,5mA,-,,300mcd,,,,,,,,,
C7371903,XL-1608UGC-06A,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/e25bcb0548b625384a6d445cadb2c5bc.pdf?productCode=C7371903,119650,0.0133,50,50,https://www.lcsc.com/product-detail/C7371903.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,3V,525nm,Emerald Green,-40℃~+85℃,Water Clear,,Top-mount,,,520nm~536nm,,5mA,-,,1.45cd,,,,,,,,,
C965798,XL-1608SURC-04,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/a943c5585648f7c768e99c9f43c63ca1.pdf?productCode=C965798,531800,0.0057,100,100,https://www.lcsc.com/product-detail/C965798.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.4V,625nm,Red,-40℃~+85℃,Water Clear,,Top-mount,,,620nm~625nm,,20mA,-,,120mcd,,,,,,,,,
C965806,XL-1608SYGC-04,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/2fdcf11ef63f28b55307ee821c9a2a13.pdf?productCode=C965806,245200,0.0085,50,50,https://www.lcsc.com/product-detail/C965806.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.4V,572nm,Yellow Green,-40℃~+85℃,Water Clear,,Top-mount,,,565nm~575nm,,20mA,-,,50mcd,,,,,,,,,
